iter	MAE	RMSE
798	888256.4117	1591627.167
799	888234.1345	1591480.328
800	888108.8375	1591107.631
801	887984.7094	1590949.395
802	887822.8249	1590597.545
803	887696.0918	1590457.885
804	887693.1425	1590438.532
805	887653.2888	1590297.121
806	887426.1928	1590037.083
807	887394.8218	1589709.699
808	887250.6866	1589559.815
809	887154.5127	1589396.58
810	886953.2696	1588889.463
811	886867.8153	1588512.006
812	886866.0002	1588496.056
813	886813.1139	1588360.394
814	886662.3991	1588052.767
815	886614.9512	1587829.816
816	886571.4873	1587580.824
817	886567.2903	1587563.365
818	886516.4567	1587321.603
819	886438.4894	1587182.481
820	886310.2304	1586923.44
821	886196.1034	1586697.895
822	886181.8494	1586664.563
823	885985.1266	1586406.401
824	885673.0907	1586139.011
825	885671.3423	1586123.827
826	885669.6216	1586109.114
827	885374.1862	1585700.189
828	885337.6662	1585628.213
829	885080.7146	1585286.496
830	885075.1727	1585265.491
831	884907.4597	1585002.614
832	884787.6984	1584869.469
833	884748.0153	1584737.155
834	884744.1364	1584720.845
835	884631.215	1584531.133
836	884616.1	1584491.116
837	884572.0793	1584338.584
838	884480.1944	1584088.866
839	884279.3904	1583771.11
840	884233.5488	1583637.922
841	884231.9455	1583624.364
842	884121.0945	1583500.638
843	884055.3816	1583386.337
844	883853.5304	1583178.42
845	883738.1039	1583055.473
846	883690.1788	1582789.224
847	883546.1402	1582623.624
848	883510.2858	1582449.002
849	883423.473	1582298.824
850	883341.7475	1582042.023
851	883259.2223	1581719.151
852	883144.9093	1581486.359
853	883126.6139	1581432.854
854	882940.1514	1580948.497
855	882887.6615	1580870.109
856	882799.942	1580746.931
857	882564.9053	1580418.788
858	882273.2346	1580054.32
859	881827.7549	1579609.14
860	881728.4361	1579467.716
861	881548.5441	1579016.998
862	881383.2152	1578573.494
863	881169.4326	1578292.152
864	881093.8076	1577948.956
865	881059.5979	1577882.643
866	880977.2972	1577467.21
867	880934.5252	1577346.403
868	880918.8673	1577297.304
869	880846.1682	1577152.477
870	880755.8769	1576876.546
871	880579.1435	1576521.086
872	880514.3045	1576381.205
873	880432.1182	1576197.286
874	880410.1472	1576099.14
875	880278.3327	1575972.306
876	879855.9554	1575568.738
877	879825.9174	1575507.534
878	879705.7638	1575128.039
879	879692.275	1575083.055
880	879662.0643	1575020.761
881	879475.99	1574816.293
882	879446.7292	1574754.912
883	879407.7905	1574645.071
884	879383.0064	1574596.583
885	879300.1132	1574313.314
886	879173.2975	1574040.408
887	878980.0786	1573822.263
888	878932.7233	1573746.875
889	878863.0807	1573565.218
890	878805.8486	1573403.92
891	878769.2359	1573266.563
892	878762.8515	1573248.9
893	878698.7901	1573124.262
894	878658.6385	1572943.251
895	878565.9651	1572811.003
896	878447.8681	1572662.657
897	878266.5396	1572568.094
898	878141.4955	1572407.108
899	878058.2136	1572206.451
900	877880.9894	1571914.783
901	877813.4968	1571795.677
902	877680.8695	1571678.661
903	877659.0812	1571625.417
904	877494.6885	1571346.055
905	877448.5466	1571222.028
906	877312.1544	1570781.599
907	877157.8265	1570627.12
908	877058.4876	1570283.33
909	877001.3307	1570191.957
910	876934.3003	1569934.075
911	876929.8499	1569903.959
912	876854.1899	1569706.497
913	876760.4004	1569508.927
914	876690.9661	1569293.251
915	876669.0874	1569121.178
916	876627.3912	1569004.133
917	876547.4684	1568724.353
918	876343.7129	1568489.978
919	876291.568	1568368.21
920	876241.5662	1568111.422
921	876176.4504	1567988.752
922	875905.4062	1567228.125
923	875508.1961	1566709.02
924	875508.0126	1566699.192
925	875504.6145	1566684.096
926	875395.7857	1566519.914
927	875395.6035	1566510.667
928	875321.5144	1566401.761
929	875317.9246	1566383.494
930	875278.3049	1566238.242
931	875123.0131	1566043.044
932	875064.7534	1565858.176
933	875061.3004	1565843.83
934	875061.0752	1565835.185
935	875055.8147	1565810.94
936	875024.327	1565710.187
937	874969.8381	1565632.176
938	874893.7632	1565327.825
939	874889.3365	1565310.829
940	874846.9505	1565198.088
941	874842.8225	1565185.83
942	874764.4048	1564984.152
943	874760.5096	1564924.183
944	874618.7722	1564770.54
945	874554.401	1564585.235
946	874550.8478	1564566.863
947	874503.9628	1564467.165
948	874465.2541	1564414.719
949	874317.9777	1563978.458
950	874237.1534	1563739.175
951	874198.588	1563495.703
952	874194.3183	1563479.899
953	874101.2857	1563305.591
954	874097.4547	1563290.513
955	874081.8062	1563245.5
956	874078.3691	1563231.087
957	874045.3342	1563181.777
958	874013.8504	1563110.015
959	873910.0669	1562839.772
960	873693.5644	1562637.531
961	873664.2899	1562529.22
962	873646.6499	1562489.16
963	873396.5675	1562241.947
964	873341.9869	1562088.752
965	873271.624	1561962.685
966	873223.7726	1561897.164
967	873068.8803	1561716.211
968	873053.1559	1561656.345
969	873003.0442	1561522.465
970	873001.4747	1561518.313
971	872899.542	1561274.577
972	872871.031	1561216.197
973	872826.8283	1561169.292
974	872691.4283	1561035.321
975	872649.4745	1560968.767
976	872588.9386	1560741.376
977	872576.1558	1560705.867
978	872534.1045	1560648.765
979	872392.0209	1560396.364
980	872266.3541	1560164.742
981	871957.5521	1559712.548
982	871825.0102	1559308.871
983	871697.7675	1558971.773
984	871639.7039	1558835.027
985	871520.2045	1558489.08
986	871505.7279	1558471.18
987	871471.4527	1558297.984
988	871125.4318	1557844.026
989	871104.6795	1557805.943
990	871094.4967	1557753.853
991	870883.078	1557450.128
992	870856.6344	1557388.905
993	870576.9146	1556963.763
994	870514.7038	1556812.529
995	870232.9632	1556358.08
996	870119.8171	1556077.468
997	870013.5998	1555760.6
998	869834.4014	1555559.059
999	869644.8919	1555392.529
